Estuary,Exclosure_date,Yrs_since_disturb,Site_no,ID,Salinity_mS,Elev_m_AMLL,Agropyron_repens,Agrostis_gigantea,Atriplex_patula,Carex_lyngbyei,Cotula_coronopifolia,Daucus_carota,Deschampsia_cespitosa,Distichlis_spicata,Glaux_maritima,Isolepis_cernua,Juncus_balticus,Polygonum_fowlerii,Potentilla_anserina_pacifica,Salicornia_depressa,Scirpus_microcarpus,Spergularia_canadensis,Symphotrichium_subspicatum,Trifolium_wormskioldii,Triglochin_maritima,Unvegetated
LQRE,2010,10,10_06,26,NA,3.2675,0,37.5,0,65,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.5,0.00
LQRE,2010,10,10_10,27,7.115,3.41,0,85,0,15.625,0,0,0,0,1,0,4.6875,0,6.25,0,0,0,0,0,0,0.00
LQRE,2010,10,10_11,28,5.505,3.495,0,72.5,0,3.625,0,0,0,0,1,0,9.6875,0,26.25,0,0,0,0,0,0,0.00
LQRE,Reference,15,REF_01,29,5.641666667,3.53,0,48.75,0,3.175,0,0,0,0,0.5,0,2.5625,0,15.625,0,0,0,42.5,0,6.25,0.00
LQRE,Reference,15,REF_02,30,5.62,3.4175,0,12,0.05,19.625,0,0,0,0,0.05,0,30.5,0,30,0,0,0,0,0,4.6875,3.09
LQRE,Reference,15,REF_03,31,6.256666667,3.4025,0.5,3.625,0.5,92.5,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0.00
LQRE,Reference,15,REF_04,32,NA,3.3525,0,0,1,92.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1.50
NRE,Grubbed,0,GRB_01,33,12.00333333,3.8175,0,0,0,0,0,0,0,0.05,14.0625,42.5,0,0,0,0,0,1.5,0,0,0,41.89
NRE,Grubbed,0,GRB_02,34,8.37,3.955,0,0,0,0,0.05,0,0.05,1,25,9.6875,0,0,4.6875,0,0,2.0625,0,0,0,57.46
NRE,Grubbed,0,GRB_03,35,7.563333333,3.73,0,0,0,0,0.05,0,0,0,10.9375,22.5,0,0,0,0.05,0,1.5,0,0,0,64.96
NRE,Grubbed,0,GRB_04,36,8.913333333,3.825,0,0,0,0.05,0.55,0,0.5,0,22.1875,16.25,0,0,0,0.05,0,4.6875,0,0,0.5,55.23
NRE,2020,1,20_03,37,NA,3.7575,0,0,0,10.9375,0.05,0,5.1875,0,26.5,10,0,0,0,1,0,16.25,0,0,0.5,29.58
NRE,2020,1,20_04,38,7.015,3.7575,0,0,0,36.25,0,0,0,1,33,12.5,0,0,0,0,0,9.375,0,0,0,7.88
NRE,2020,1,20_05,39,9.263333333,3.73,0,0,0,14.6875,0,0,0.5,0,0.55,10,10,0,0,0,0,2.0625,0,0,0,62.20
NRE,2020,1,20_06,40,NA,3.63,0,0,0,20,0,0,0,0,10.5,17.5,0,0,0,0.5,0,22.75,0,0,0,28.75
NRE,Reference,15,REF_01,41,7.231666667,3.535,0,0,0,77.5,0,0,3.125,0,0.05,2,0,0,0,0,0,0.5,0,0,0,16.83
NRE,Reference,15,REF_02,42,7.538333333,4.0975,0,24.83333333,0,3.175,0,0,3.625,8.333333333,3.625,0,3.125,0,12.5,0,0,0,20,0.5,9.375,10.91
NRE,Reference,15,REF_03,43,7.061666667,3.92,0,2.0625,0,4.6875,0,0,12.5,0,10.5,0,41.5,0,15.625,0.5,0,0,0,0,3.125,9.50
NRE,Reference,15,REF_04,44,6.741666667,3.9625,0,0,0,67.5,0,0,0,0,1,0,40,0,3.625,0,0,0,0,0,1.5625,0.00
